date,ticker,asset_class,close,currency
2019-07-16,EUNL.DE,ETF,52.44599914550781,EUR
2019-07-17,EUNL.DE,ETF,52.15999984741211,EUR
2019-07-18,EUNL.DE,ETF,51.84999847412109,EUR
2019-07-19,EUNL.DE,ETF,52.22200012207031,EUR
2019-07-22,EUNL.DE,ETF,52.04600143432617,EUR
2019-07-23,EUNL.DE,ETF,52.55199813842773,EUR
2019-07-24,EUNL.DE,ETF,52.77399826049805,EUR
2019-07-25,EUNL.DE,ETF,52.63399887084961,EUR
2019-07-26,EUNL.DE,ETF,52.9739990234375,EUR
2019-07-29,EUNL.DE,ETF,52.85599899291992,EUR
2019-07-30,EUNL.DE,ETF,52.54999923706055,EUR
2019-07-31,EUNL.DE,ETF,52.64400100708008,EUR
2019-08-01,EUNL.DE,ETF,52.96200180053711,EUR
2019-08-02,EUNL.DE,ETF,51.25199890136719,EUR
2019-08-05,EUNL.DE,ETF,50.0,EUR
2019-08-06,EUNL.DE,ETF,49.64099884033203,EUR
2019-08-07,EUNL.DE,ETF,49.72499847412109,EUR
2019-08-08,EUNL.DE,ETF,50.80799865722656,EUR
2019-08-09,EUNL.DE,ETF,50.49399948120117,EUR
2019-08-12,EUNL.DE,ETF,50.20000076293945,EUR
2019-08-13,EUNL.DE,ETF,50.79999923706055,EUR
2019-08-14,EUNL.DE,ETF,50.012001037597656,EUR
2019-08-15,EUNL.DE,ETF,49.9119987487793,EUR
2019-08-16,EUNL.DE,ETF,50.64599990844727,EUR
2019-08-19,EUNL.DE,ETF,51.24599838256836,EUR
2019-08-20,EUNL.DE,ETF,51.08599853515625,EUR
2019-08-21,EUNL.DE,ETF,51.33000183105469,EUR
2019-08-22,EUNL.DE,ETF,51.1619987487793,EUR
2019-08-23,EUNL.DE,ETF,50.358001708984375,EUR
2019-08-26,EUNL.DE,ETF,50.4640007019043,EUR
2019-08-27,EUNL.DE,ETF,50.70800018310547,EUR
2019-08-28,EUNL.DE,ETF,50.7400016784668,EUR
2019-08-29,EUNL.DE,ETF,51.45600128173828,EUR
2019-08-30,EUNL.DE,ETF,51.7760009765625,EUR
2019-09-03,EUNL.DE,ETF,51.69599914550781,EUR
2019-09-04,EUNL.DE,ETF,51.948001861572266,EUR
2019-09-05,EUNL.DE,ETF,52.58399963378906,EUR
2019-09-06,EUNL.DE,ETF,52.68000030517578,EUR
2019-09-09,EUNL.DE,ETF,52.650001525878906,EUR
2019-09-10,EUNL.DE,ETF,52.400001525878906,EUR
2019-09-11,EUNL.DE,ETF,53.11199951171875,EUR
2019-09-12,EUNL.DE,ETF,53.2239990234375,EUR
2019-09-13,EUNL.DE,ETF,53.25400161743164,EUR
2019-09-16,EUNL.DE,ETF,53.25600051879883,EUR
2019-09-17,EUNL.DE,ETF,53.0880012512207,EUR
2019-09-18,EUNL.DE,ETF,53.0,EUR
2019-09-19,EUNL.DE,ETF,53.46599960327149,EUR
2019-09-20,EUNL.DE,ETF,53.50600051879883,EUR
2019-09-23,EUNL.DE,ETF,53.262001037597656,EUR
2019-09-24,EUNL.DE,ETF,53.19200134277344,EUR
2019-09-25,EUNL.DE,ETF,53.071998596191406,EUR
2019-09-26,EUNL.DE,ETF,53.22600173950195,EUR
2019-09-27,EUNL.DE,ETF,53.35200119018555,EUR
2019-09-30,EUNL.DE,ETF,53.448001861572266,EUR
2019-10-01,EUNL.DE,ETF,52.97600173950195,EUR
2019-10-02,EUNL.DE,ETF,51.54199981689453,EUR
2019-10-04,EUNL.DE,ETF,52.2760009765625,EUR
2019-10-07,EUNL.DE,ETF,52.51399993896485,EUR
2019-10-08,EUNL.DE,ETF,51.83599853515625,EUR
2019-10-09,EUNL.DE,ETF,51.97200012207031,EUR
2019-10-10,EUNL.DE,ETF,52.34999847412109,EUR
2019-10-11,EUNL.DE,ETF,53.11399841308594,EUR
2019-10-14,EUNL.DE,ETF,52.84600067138672,EUR
2019-10-15,EUNL.DE,ETF,53.27000045776367,EUR
2019-10-16,EUNL.DE,ETF,53.06800079345703,EUR
2019-10-17,EUNL.DE,ETF,52.900001525878906,EUR
2019-10-18,EUNL.DE,ETF,52.69200134277344,EUR
2019-10-21,EUNL.DE,ETF,52.97800064086914,EUR
2019-10-22,EUNL.DE,ETF,53.09999847412109,EUR
2019-10-23,EUNL.DE,ETF,53.10200119018555,EUR
